speaker_id,utt_id,codec,tx_route,system_id,label,trim,subset
LA_0015,LA_E_3126231,none,-,bonafide,bonafide,notrim,eval
LA_0015,LA_E_4266999,none,-,bonafide,bonafide,notrim,progress
LA_0015,LA_E_7154541,none,-,bonafide,bonafide,notrim,eval
LA_0015,LA_E_6120005,none,-,bonafide,bonafide,only_speech,hidden
LA_0015,LA_E_9607428,none,-,bonafide,bonafide,notrim,eval
LA_0004,LA_E_3009841,none,-,bonafide,bonafide,notrim,eval
LA_0004,LA_E_4686633,none,-,bonafide,bonafide,only_speech,hidden
LA_0004,LA_E_2308360,none,-,bonafide,bonafide,notrim,progress
LA_0004,LA_E_9859493,none,-,bonafide,bonafide,notrim,eval
LA_0004,LA_E_4463978,none,-,bonafide,bonafide,notrim,progress
LA_0036,LA_E_3307778,none,-,bonafide,bonafide,notrim,progress
LA_0036,LA_E_7151396,none,-,bonafide,bonafide,only_speech,hidden
LA_0036,LA_E_1307211,none,-,bonafide,bonafide,notrim,progress
LA_0036,LA_E_7999423,none,-,bonafide,bonafide,notrim,eval
LA_0036,LA_E_3891028,none,-,bonafide,bonafide,notrim,eval
LA_0032,LA_E_2346625,none,-,bonafide,bonafide,notrim,progress
LA_0032,LA_E_5130653,none,-,bonafide,bonafide,notrim,eval
LA_0032,LA_E_8317113,none,-,bonafide,bonafide,notrim,progress
LA_0032,LA_E_1922894,none,-,bonafide,bonafide,notrim,progress
LA_0032,LA_E_7707945,none,-,bonafide,bonafide,notrim,eval
LA_0068,LA_E_2926454,none,-,bonafide,bonafide,notrim,eval
LA_0068,LA_E_9756795,none,-,bonafide,bonafide,notrim,eval
LA_0068,LA_E_7413555,none,-,bonafide,bonafide,notrim,eval
LA_0068,LA_E_1601021,none,-,bonafide,bonafide,notrim,eval
LA_0068,LA_E_1252619,none,-,bonafide,bonafide,notrim,eval
LA_0009,LA_E_7127385,none,-,bonafide,bonafide,only_speech,hidden
LA_0009,LA_E_6621811,none,-,bonafide,bonafide,notrim,progress
LA_0009,LA_E_7192051,none,-,bonafide,bonafide,notrim,progress
LA_0009,LA_E_5487193,none,-,bonafide,bonafide,notrim,progress
LA_0009,LA_E_7535261,none,-,bonafide,bonafide,notrim,eval
LA_0048,LA_E_5453722,none,-,bonafide,bonafide,notrim,eval
LA_0048,LA_E_4565603,none,-,bonafide,bonafide,notrim,eval
LA_0048,LA_E_4044148,none,-,bonafide,bonafide,notrim,eval
LA_0048,LA_E_8427879,none,-,bonafide,bonafide,notrim,eval
LA_0048,LA_E_6361783,none,-,bonafide,bonafide,notrim,eval
LA_0007,LA_E_5465330,none,-,bonafide,bonafide,notrim,eval
LA_0007,LA_E_9038790,none,-,bonafide,bonafide,notrim,eval
LA_0007,LA_E_5523111,none,-,bonafide,bonafide,notrim,eval
LA_0007,LA_E_5136312,none,-,bonafide,bonafide,notrim,eval
LA_0007,LA_E_1469384,none,-,bonafide,bonafide,notrim,eval
LA_0021,LA_E_6101147,none,-,A17,spoof,notrim,eval
LA_0020,LA_E_8070818,none,-,A17,spoof,notrim,eval
LA_0012,LA_E_4271578,none,-,A17,spoof,notrim,eval
LA_0030,LA_E_9765456,none,-,A17,spoof,notrim,eval
LA_0013,LA_E_1711543,none,-,A17,spoof,notrim,eval
LA_0013,LA_E_1071298,none,-,A18,spoof,notrim,eval
LA_0018,LA_E_2071576,none,-,A18,spoof,notrim,eval
LA_0014,LA_E_4284589,none,-,A18,spoof,notrim,eval
LA_0014,LA_E_9150490,none,-,A18,spoof,only_speech,hidden
LA_0018,LA_E_1020858,none,-,A18,spoof,notrim,eval
LA_0016,LA_E_5191697,none,-,A15,spoof,notrim,eval
LA_0011,LA_E_1515960,none,-,A15,spoof,notrim,eval
LA_0027,LA_E_2853833,none,-,A15,spoof,notrim,eval
LA_0014,LA_E_1894554,none,-,A15,spoof,notrim,eval
LA_0014,LA_E_1476112,none,-,A15,spoof,notrim,eval
LA_0013,LA_E_6389314,none,-,A08,spoof,notrim,eval
LA_0006,LA_E_3639289,none,-,A08,spoof,notrim,progress
LA_0001,LA_E_3358191,none,-,A08,spoof,notrim,eval
LA_0042,LA_E_3359270,none,-,A08,spoof,notrim,eval
LA_0013,LA_E_1856388,none,-,A08,spoof,notrim,progress
LA_0002,LA_E_6086194,none,-,A13,spoof,notrim,eval
LA_0031,LA_E_5814829,none,-,A13,spoof,notrim,eval
LA_0036,LA_E_3082991,none,-,A13,spoof,notrim,eval
LA_0022,LA_E_7270084,none,-,A13,spoof,notrim,eval
LA_0005,LA_E_8181661,none,-,A13,spoof,notrim,eval
LA_0037,LA_E_3987274,none,-,A07,spoof,notrim,eval
LA_0006,LA_E_5576073,none,-,A07,spoof,notrim,eval
LA_0005,LA_E_9083734,none,-,A07,spoof,notrim,progress
LA_0033,LA_E_6764502,none,-,A07,spoof,notrim,eval
LA_0011,LA_E_1888550,none,-,A07,spoof,notrim,eval
LA_0013,LA_E_9864165,none,-,A14,spoof,notrim,eval
LA_0046,LA_E_1477398,none,-,A14,spoof,notrim,eval
LA_0001,LA_E_9618429,none,-,A14,spoof,notrim,eval
LA_0042,LA_E_3619640,none,-,A14,spoof,notrim,eval
LA_0013,LA_E_1003795,none,-,A14,spoof,notrim,eval
LA_0021,LA_E_5807303,none,-,A19,spoof,notrim,eval
LA_0020,LA_E_9616495,none,-,A19,spoof,notrim,eval
LA_0001,LA_E_7468578,none,-,A19,spoof,notrim,eval
LA_0030,LA_E_7828581,none,-,A19,spoof,notrim,eval
LA_0013,LA_E_8018482,none,-,A19,spoof,notrim,eval
LA_0028,LA_E_4454154,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0028,LA_E_5651639,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0028,LA_E_3773639,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0028,LA_E_5430056,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0028,LA_E_5667476,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0030,LA_E_3411395,pstn,mad_tx,bonafide,bonafide,only_speech,hidden
LA_0030,LA_E_2490357,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0030,LA_E_5178591,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0030,LA_E_4082026,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0030,LA_E_7190870,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0066,LA_E_8685697,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0066,LA_E_2393508,pstn,mad_tx,bonafide,bonafide,notrim,eval
